,Name,School,L10_High_UB,L10_Ave_UB,Freshman,NCAA_High_UB,NCAA_Ave_UB,UB_nqs,UB_delta
2990,Jodi Andrews,Michigan State,9.4,6.589285714285714,2013,0.0,0.0,0.0,-9.4
2991,Kristine Levin,Arizona State,9.65,6.2250000000000005,2013,9.825,9.507,9.795,0.175
2992,Blair Elmore,Missouri,9.3,5.08,2013,9.775,9.625,9.72,0.475
2993,Katie Kuehl,Lindenwood,9.3,5.85,2013,9.675,9.07,9.565,0.375
2994,Summer Raymond,BYU,9.45,7.152777777777778,2013,0.0,0.0,0.0,-9.45
2995,Austin Page,Southern Conn.,7.775,7.775,2015,9.3,8.675,8.82,1.525
2996,Sarah Fisher,Illinois State,9.35,6.537499999999999,2013,9.725,9.159,9.47,0.375
2997,Ellie Pikula,Pittsburgh,8.7,5.395833333333333,2017,0.0,0.0,0.0,-8.7
2998,Nicole Turner,Oregon State,9.55,6.080555555555556,2013,0.0,0.0,0.0,-9.55
2999,Lisa Soto,Pittsburgh,8.9,8.4,2013,9.825,9.673,9.77,0.925
3000,Jesse Williams,Sacramento State,9.175,5.51875,2013,9.825,9.546,9.77,0.65
3001,Kimberly Robertson,UW-Oshkosh,0.0,0.0,2015,0.0,0.0,0.0,0.0
3002,Shae Zamardi,LSU,9.0,9.0,2014,9.9,9.834,9.9,0.9
3003,Laura-Ann Chong,Oregon State,9.15,9.15,2009,9.925,9.808,9.915,0.775
3004,Opua Calucag,Iowa,8.875,8.315,2013,0.0,0.0,0.0,-8.875
3005,Taylor Ricci,Oregon State,7.9,7.9,2015,0.0,0.0,0.0,-7.9
3006,Jacklyn Clark,West Chester,8.45,5.4375,2013,9.3,8.517,8.88,0.85
3007,Katie Stebick,Rutgers,8.05,8.05,2013,0.0,0.0,0.0,-8.05
3008,Samantha Craus,Oklahoma,9.725,6.728571428571428,2017,9.85,9.85,0.0,0.125
3009,Madeline Nilsson,BYU,9.325,6.353571428571429,2013,9.775,9.713,0.0,0.45
3010,Nicole DeRoode,UW-Oshkosh,0.0,0.0,2013,0.0,0.0,0.0,0.0
3011,Kate Filosi,Michigan State,8.925,8.633333333333333,2013,9.825,9.487,9.685,0.9
3012,Denasiha Christian,Ball State,9.375,8.5875,2013,0.0,0.0,0.0,-9.375
3013,Jasmine Zambrana,Southern Conn.,6.0,3.0,2015,0.0,0.0,0.0,-6.0
3014,Milena Fabry,Kent State,0.0,0.0,2016,9.75,9.75,0.0,9.75
3015,Jamilah Ali,Bowling Green,9.05,9.05,2013,9.625,9.235,0.0,0.575
3016,Amber Woo,Pennsylvania,9.15,5.9333333333333345,2012,9.725,9.353,9.66,0.575
3017,Morgan Traina,Yale,9.275,8.88,2012,9.875,9.635,9.845,0.6
3018,Jaymi Baxter,Kent State,9.575,6.909374999999999,2014,9.875,9.698,9.81,0.3
3019,Lauren Ross,Towson,9.15,5.8,2012,9.7,9.362,9.63,0.55
3020,Alexis Lajeunesse,Central Michigan,8.675,8.675,2013,9.575,9.3,0.0,0.9
