,School,Conference,Year,Final Rank,NQS,Home Average,Away Average,Location Delta,Scores >= 9.9,VT Delta,UB Delta,BB Delta,FX Delta,AA Delta
709,Rutgers,Big10,2021,40,195.165,193.706,195.05,-1.344,4.8,3.403,2.43,2.349,3.481,8.178
710,S.E. Missouri,MIC,2021,47,194.655,194.385,192.758,1.627,3.3,2.541,3.03,2.518,2.672,7.512
711,San Jose State,MPSF,2021,51,0.0,194.375,193.717,0.658,0.0,2.293,2.143,2.194,2.578,8.999
712,Southern Utah,MRGC,2021,23,196.405,196.512,195.806,0.706,9.8,2.655,2.874,2.447,3.015,1000.0
713,Stanford,PAC12,2021,52,0.0,194.025,193.183,0.842,5.0,2.597,2.05,2.662,2.877,9.612
714,Temple,EAGL,2021,36,195.46,194.269,194.988,-0.719,3.1,2.425,2.383,2.604,2.204,8.522
715,Texas Woman's,MIC,2021,48,194.255,192.475,193.794,-1.319,2.2,2.457,2.021,2.657,2.152,0.957
716,Towson,EAGL,2021,29,195.765,195.065,195.078,-0.013,3.9,2.782,2.785,2.613,2.765,9.344
717,UCLA,Pac12,2021,12,197.04,196.719,196.779,-0.06,27.4,2.772,2.656,2.74,3.821,8.279
718,Utah,Pac12,2021,3,197.665,197.285,197.468,-0.183,31.5,2.155,2.407,3.141,3.072,14.641
719,Utah State,MRGC,2021,25,196.365,195.744,196.068,-0.324,4.9,2.555,2.025,2.88,2.718,1000.0
720,UW-Eau Claire,NaN,2021,64,0.0,180.087,174.887,5.2,0.0,1.774,2.029,2.563,2.417,1000.0
721,UW-La Crosse,NaN,2021,58,0.0,187.613,188.25,-0.637,0.0,2.776,2.833,1.403,2.801,1000.0
722,UW-Oshkosh,NaN,2021,59,0.0,185.962,186.287,-0.325,0.0,2.577,3.496,2.439,4.389,16.148
723,UW-Stout,NaN,2021,60,0.0,183.562,183.012,0.55,0.0,2.793,2.451,1.681,2.392,10.873
724,UW-Whitewater,NaN,2021,65,0.0,188.05,188.25,-0.2,0.0,2.981,3.846,2.8,2.612,12.575
725,Washington,PAC12,2021,42,194.72,194.53,194.185,0.345,6.6,2.099,2.543,2.973,2.433,10.25
726,West Virginia,Big12,2021,28,195.725,195.46,195.171,0.289,4.2,2.834,3.206,3.158,3.215,12.222
727,Western Michigan,MAC,2021,34,195.34,194.956,194.95,0.006,4.5,2.793,2.349,2.828,3.307,10.392
728,William & Mary,GEC,2021,57,0.0,190.85,190.125,0.725,0.0,2.974,2.293,3.079,2.99,11.259
729,Winona State,NaN,2021,61,0.0,179.55,179.662,-0.112,0.0,0.163,2.392,2.136,1000.0,1000.0
730,Air Force,MPSF,2022,54,195.03,194.469,193.902,0.567,1.4,2.718,2.509,2.957,2.53,9.489
731,Alabama,SEC,2022,7,197.935,197.715,197.392,0.323,41.1,2.837,2.571,2.211,3.053,8.399
732,Alaska,MPSF,2022,64,191.695,188.733,190.886,-2.153,0.0,2.814,3.315,1.03,1.325,8.865
733,Arizona,Pac12,2022,26,196.495,195.865,196.088,-0.223,10.9,2.79,2.307,2.715,2.827,9.437
734,Arizona State,Pac12,2022,22,196.905,196.737,196.596,0.141,17.0,2.314,1.687,1.945,1.012,-0.037
735,Arkansas,SEC,2022,16,196.92,196.295,196.644,-0.349,19.7,2.82,2.148,3.015,2.49,1000.0
736,Auburn,SEC,2022,4,197.808,197.79,197.349,0.441,35.4,2.553,2.471,2.503,2.508,9.548
737,Ball State,MAC,2022,48,195.585,194.675,194.878,-0.203,3.2,1000.0,3.353,2.729,2.966,1000.0
738,Boise State,MRGC,2022,27,196.6,196.081,196.417,-0.336,16.2,2.163,1000.0,2.164,2.195,1000.0
739,Bowling Green,2763,2022,56,194.245,193.475,193.297,0.178,1.0,3.062,2.935,2.889,2.711,11.822
740,Bridgeport,GEC,2022,70,188.515,188.7,187.171,1.529,1.8,2.343,2.717,2.629,2.686,8.909
741,Brockport,NaN,2022,63,192.285,189.75,191.531,-1.781,0.8,2.84,2.104,4.124,3.596,1000.0
742,Brown,GEC,2022,59,194.2,193.6,192.467,1.133,2.9,2.828,2.557,3.137,3.141,1000.0
743,BYU,MRGC,2022,24,196.675,196.795,196.25,0.545,15.4,3.017,3.163,2.465,3.936,1000.0
744,California,Pac12,2022,11,197.44,197.335,197.078,0.257,28.8,2.797,1.64,3.106,1.572,8.764
745,Centenary College,MIC,2022,72,188.135,189.108,187.529,1.579,0.0,1.812,2.717,2.763,3.357,8.451
746,Central Michigan,MAC,2022,37,196.14,195.425,195.107,0.318,7.0,2.501,2.642,2.429,1.82,1000.0
747,Cornell,GEC,2022,62,192.2,191.656,191.636,0.02,0.4,2.609,2.842,2.181,2.742,10.348
748,Cortland State,NaN,2022,77,183.825,185.783,181.917,3.866,0.0,2.213,1.883,2.321,2.63,2.608
749,Denver,Big12,2022,13,197.125,196.75,196.75,0.0,20.5,2.373,2.473,2.658,2.701,1000.0
750,Eastern Michigan,MAC,2022,52,194.88,194.737,193.596,1.141,3.4,2.982,2.747,2.557,2.79,1000.0
751,Florida,SEC,2022,2,198.26,197.835,198.004,-0.169,55.0,2.656,2.852,2.744,2.785,10.875
752,George Washington,EAGL,2022,39,196.075,195.613,195.317,0.296,6.7,2.722,2.282,3.23,2.869,1000.0
753,Georgia,SEC,2022,30,196.575,196.13,196.018,0.112,13.9,1000.0,2.237,2.455,1000.0,1000.0
754,Gustavus Adolphus,NaN,2022,80,182.235,181.575,182.881,-1.306,0.0,1000.0,2.607,1000.0,1.094,1000.0
755,Hamline,NaN,2022,81,180.525,179.608,180.744,-1.136,0.0,1000.0,0.824,0.108,1000.0,1000.0
756,Illinois,Big10,2022,19,196.97,196.713,196.119,0.594,16.2,1.91,-0.15,1.491,3.517,1000.0
757,Illinois State,MIC,2022,51,195.23,194.3,194.25,0.05,6.0,2.162,2.636,2.492,2.37,10.263
758,Iowa,Big10,2022,15,196.795,196.256,196.538,-0.282,19.2,1.938,2.591,2.543,2.504,1000.0
759,Iowa State,Big12,2022,25,196.53,196.012,195.936,0.076,10.3,2.284,2.512,2.86,2.144,9.915
760,Ithaca College,NaN,2022,71,189.145,187.969,187.746,0.223,0.0,3.213,2.855,2.88,3.121,12.197
761,Kent State,MAC,2022,41,196.055,195.613,195.757,-0.144,6.6,3.084,2.523,2.897,2.949,1000.0
762,Kentucky,SEC,2022,10,197.51,197.285,197.032,0.253,29.6,2.468,3.088,2.365,2.293,10.343
763,Lindenwood,MIC,2022,53,194.77,193.242,194.32,-1.078,2.5,2.692,2.463,3.287,2.525,1000.0
764,LIU,EAGL,2022,55,194.395,194.544,193.291,1.253,5.2,2.101,1.623,3.224,5.224,1000.0
765,LSU,SEC,2022,18,197.735,197.71,197.133,0.577,40.7,1.973,2.545,2.509,2.901,1000.0
766,Maryland,Big10,2022,29,196.765,196.375,195.778,0.597,10.6,2.377,2.466,2.888,2.909,1000.0
767,Michigan,Big10,2022,8,198.015,197.835,197.629,0.206,48.2,2.214,2.39,2.474,2.357,1000.0
768,Michigan State,Big10,2022,9,197.375,196.94,196.944,-0.004,26.4,1.706,1.767,2.604,2.398,9.834
769,Minnesota,BIG10,2022,6,197.78,197.6,197.136,0.464,37.2,2.616,1000.0,2.07,1000.0,1000.0
770,Missouri,SEC,2022,5,197.37,197.319,196.961,0.358,24.0,2.814,2.283,2.63,2.733,1000.0
771,Nebraska,Big10,2022,38,196.08,195.385,195.754,-0.369,7.9,2.936,1.317,1.934,2.339,1000.0
772,New Hampshire,EAGL,2022,47,195.625,195.15,194.688,0.462,7.8,3.151,3.195,3.552,3.148,1000.0
773,North Carolina,EAGL,2022,32,196.23,195.8,195.694,0.106,9.3,2.867,2.217,2.387,2.795,9.105
774,North Carolina State,EAGL,2022,31,196.33,195.95,195.797,0.153,7.1,2.7,2.276,2.367,3.136,1000.0
775,Northern Illinois,MAC,2022,44,195.79,195.45,194.841,0.609,6.2,2.817,3.558,1.712,3.586,14.207
776,Ohio State,Big10,2022,20,196.94,196.525,196.471,0.054,18.6,2.75,3.184,2.537,3.204,1000.0
777,Oklahoma,Big12,2022,1,198.205,197.91,197.919,-0.009,53.4,3.393,2.625,2.375,2.899,9.254
778,Oregon State,PAC12,2022,17,197.255,196.885,196.992,-0.107,27.6,2.876,2.85,3.948,3.608,10.918
779,Penn State,Big10,2022,40,196.06,195.469,195.611,-0.142,8.6,1.426,2.559,1.381,1.417,1000.0
780,Pennsylvania,GEC,2022,50,195.235,194.233,194.759,-0.526,4.2,2.208,2.297,1.982,2.461,9.838
781,Pittsburgh,EAGL,2022,43,195.86,195.338,195.064,0.274,3.8,1.804,1.817,2.013,2.517,6.053
782,Rhode Island College,NaN,2022,76,184.27,182.7,184.368,-1.668,0.0,2.589,3.322,2.67,2.147,10.599
783,Rutgers,Big10,2022,46,195.735,195.288,195.206,0.082,9.2,2.754,2.434,2.458,3.283,1000.0
784,S.E. Missouri,MIC,2022,59,193.76,194.15,192.775,1.375,6.1,2.506,2.864,2.887,2.636,1000.0
785,Sacramento State,MPSF,2022,58,193.955,194.869,192.429,2.44,3.4,2.792,3.11,3.627,3.249,13.463
786,San Jose State,MPSF,2022,35,196.26,196.108,195.569,0.539,9.1,4.529,2.35,2.86,1000.0,1000.0
787,Southern Conn.,GEC,2022,65,191.31,189.5,190.306,-0.806,0.0,2.4,2.548,3.018,2.114,1000.0
788,Southern Utah,MRGC,2022,28,196.69,196.725,195.643,1.082,10.1,2.191,1000.0,2.182,2.268,1000.0
789,Springfield College,NaN,2022,75,186.095,187.867,183.788,4.079,0.0,3.536,4.067,1.943,2.766,1000.0
790,Stanford,PAC12,2022,14,196.825,196.675,196.205,0.47,15.9,2.223,2.032,2.711,2.563,8.552
791,Temple,EAGL,2022,45,195.77,194.55,195.281,-0.731,4.5,2.757,2.352,2.64,2.585,10.554
792,Texas Woman's,MIC,2022,49,195.435,194.285,194.169,0.116,3.2,2.873,2.78,1.844,2.461,10.026
793,Towson,EAGL,2022,34,196.265,196.029,195.497,0.532,3.6,2.929,2.182,2.928,3.258,10.202
794,UC Davis,MPSF,2022,42,195.915,195.35,195.267,0.083,8.5,2.9,2.727,2.671,2.649,11.528
795,UCLA,Pac12,2022,12,197.5,197.385,196.518,0.867,32.3,3.95,2.731,3.604,2.777,15.886
796,Ursinus College,NaN,2022,74,186.67,187.037,185.588,1.449,0.0,2.582,2.572,2.773,3.039,15.61
797,Utah,Pac12,2022,3,198.005,197.885,197.653,0.232,46.9,2.82,2.62,2.382,2.259,8.8
798,Utah State,MRGC,2022,23,196.645,196.081,196.233,-0.152,13.5,2.612,2.908,2.79,2.999,1000.0
799,UW-Eau Claire,NaN,2022,79,182.57,183.025,182.785,0.24,0.0,2.297,-0.067,1000.0,0.542,1000.0
800,UW-La Crosse,NaN,2022,69,190.015,188.042,190.229,-2.187,0.0,2.629,2.222,0.665,2.659,1000.0
801,UW-Oshkosh,NaN,2022,67,191.46,191.487,190.107,1.38,0.0,3.644,3.262,3.365,3.08,1000.0
802,UW-Stout,NaN,2022,73,187.57,186.842,188.312,-1.47,0.0,2.59,3.229,1.491,1.693,8.271
803,UW-Whitewater,NaN,2022,66,191.41,190.656,189.8,0.856,0.0,3.401,3.506,1.99,2.561,1000.0
804,Washington,PAC12,2022,21,196.825,196.54,195.506,1.034,12.9,3.475,2.648,2.514,3.373,1000.0
805,West Chester,GEC,2022,61,193.34,193.356,193.081,0.275,1.6,2.648,2.656,2.8,3.107,1000.0
806,West Virginia,Big12,2022,33,196.315,195.994,195.894,0.1,9.6,2.6,2.761,2.289,2.461,1000.0
807,Western Michigan,MAC,2022,36,196.215,196.317,195.312,1.005,5.6,2.566,3.355,2.413,3.138,11.135
808,William & Mary,GEC,2022,68,190.29,186.375,190.028,-3.653,0.0,3.168,2.9,2.312,2.903,12.239
809,Winona State,NaN,2022,78,183.615,181.55,183.625,-2.075,0.0,2.297,4.608,2.027,3.319,15.132
810,Yale,GEC,2022,57,194.21,193.375,193.175,0.2,1.1,1.738,1.792,2.037,2.561,9.762
