,School,Conference,Year,Final Rank,NQS,Home Average,Away Average,Location Delta,Scores >= 9.9,VT Delta,UB Delta,BB Delta,FX Delta,AA Delta
91,UCLA,Pac12,2012,3,197.39,197.375,196.646,0.729,30.6,1000.0,-0.119,0.294,1000.0,1000.0
92,Ursinus College,NaN,2012,71,184.365,182.819,183.775,-0.956,0.0,1000.0,-0.293,1000.0,0.593,1000.0
93,Utah,Pac12,2012,5,197.18,197.078,196.546,0.532,22.8,2.098,2.766,2.181,1.98,11.434
94,Utah State,MRGC,2012,47,193.925,193.971,192.967,1.004,0.0,2.356,3.055,2.113,1.208,13.98
95,UW-La Crosse,NaN,2012,74,184.15,183.562,183.409,0.153,0.0,5.805,1000.0,0.235,2.256,1000.0
96,UW-Oshkosh,NaN,2012,79,176.965,176.025,176.992,-0.967,0.0,2.699,2.926,2.907,1000.0,1000.0
97,UW-Stout,NaN,2012,76,180.365,179.775,180.225,-0.45,0.0,1.885,1.719,1.157,1.113,8.112
98,UW-Whitewater,NaN,2012,72,185.615,184.569,183.6,0.969,0.0,1000.0,2.281,2.232,3.167,1000.0
99,Washington,PAC12,2012,18,195.585,195.492,194.286,1.206,1.3,2.745,4.505,4.494,2.837,14.085
100,West Chester,GEC,2012,67,188.835,188.475,186.731,1.744,0.0,0.37,1.059,0.527,0.415,1000.0
101,West Virginia,Big12,2012,21,195.485,195.03,194.75,0.28,3.2,0.425,0.409,0.52,-0.006,1.819
102,Western Michigan,MAC,2012,39,194.588,193.579,194.056,-0.477,0.9,3.346,3.485,3.595,3.467,14.108
103,William & Mary,GEC,2012,57,191.87,191.675,190.514,1.161,0.0,3.352,2.317,1.196,1.751,14.319
104,Winona State,NaN,2012,77,180.77,180.363,179.697,0.666,0.4,1.811,2.948,2.447,2.942,12.092
105,Yale,GEC,2012,64,190.68,189.858,190.054,-0.196,0.0,2.51,2.447,1.778,2.888,7.127
106,Seattle Pacific,NaN,2012,58,191.665,190.783,190.98,-0.197,0.0,1.329,2.398,2.472,1.967,8.625
107,UIC,NaN,2012,29,194.865,194.34,193.75,0.59,0.6,0.015,1000.0,0.261,1.977,1000.0
108,Wilson College,NaN,2012,82,0.0,0.0,159.7,-159.7,0.0,2.959,2.537,2.442,2.511,8.741
109,Air Force,MPSF,2013,56,193.265,193.381,191.895,1.486,0.3,4.129,1.632,2.291,2.505,1000.0
110,Alabama,SEC,2013,3,197.53,197.133,197.216,-0.083,30.8,3.454,3.526,2.848,3.965,14.372
111,Alaska,MPSF,2013,62,191.78,191.908,190.889,1.019,0.0,2.175,2.251,1.946,1.892,8.463
112,Arizona,Pac12,2013,17,196.15,196.09,195.556,0.534,6.6,2.022,1.144,1.389,1.733,1000.0
113,Arizona State,Pac12,2013,24,195.6,195.255,194.814,0.441,2.1,1.999,3.048,2.054,2.329,8.595
114,Arkansas,SEC,2013,10,196.435,196.019,195.85,0.169,8.4,1.717,2.463,2.289,2.134,1000.0
115,Auburn,SEC,2013,13,196.675,196.195,196.094,0.101,9.4,3.33,2.17,2.447,3.429,9.524
116,Ball State,MAC,2013,51,193.67,193.5,192.837,0.663,0.3,2.522,2.307,2.083,2.334,1000.0
117,Boise State,MRGC,2013,23,195.76,195.975,195.146,0.829,10.1,2.694,2.06,2.849,2.442,12.125
118,Bowling Green,2763,2013,48,194.125,193.365,193.379,-0.014,1.4,1.73,2.027,1.919,1.62,4.08
119,Brockport,NaN,2013,70,187.565,186.788,186.344,0.444,0.0,1000.0,6.234,2.251,0.597,1000.0
120,Brown,GEC,2013,61,192.3,191.925,191.643,0.282,0.0,2.438,2.704,2.812,2.989,7.938
121,BYU,MRGC,2013,33,195.365,194.99,194.731,0.259,1.3,3.003,3.625,2.972,2.683,12.23
122,California,Pac12,2013,28,195.38,195.675,194.514,1.161,4.2,2.228,3.171,2.171,2.793,1000.0
123,Centenary College,MIC,2013,66,192.045,191.517,190.147,1.37,0.0,1.615,2.461,1.869,2.013,9.867
124,Central Michigan,MAC,2013,25,195.81,195.446,195.1,0.346,3.0,4.697,1.883,3.063,4.047,15.628
125,Cornell,GEC,2013,60,192.24,190.887,191.509,-0.622,0.0,1.848,2.466,1.645,2.225,9.887
126,Cortland State,NaN,2013,71,186.655,186.45,183.845,2.605,0.0,2.798,3.213,2.413,2.941,1000.0
127,Denver,Big12,2013,20,196.47,196.125,195.947,0.178,11.1,2.697,2.04,2.523,2.5,10.503
128,Eastern Michigan,MAC,2013,49,194.12,194.15,193.559,0.591,0.0,3.198,3.129,3.8,3.25,13.458
129,George Washington,EAGL,2013,39,194.86,194.481,194.3,0.181,1.0,3.782,3.781,2.706,2.924,1000.0
130,Georgia,SEC,2013,6,197.47,196.633,196.913,-0.28,24.5,1.71,0.273,2.103,1.429,1.46
131,Hamline,NaN,2013,79,182.105,176.275,181.171,-4.896,0.0,1000.0,2.715,0.769,0.742,1000.0
132,Illinois,Big10,2013,11,196.22,196.044,195.56,0.484,8.3,3.135,1.953,1.906,2.739,16.16
133,Illinois State,MIC,2013,46,194.175,192.769,193.496,-0.727,0.7,2.985,2.04,2.475,3.499,9.238
134,Iowa,Big10,2013,30,195.595,195.331,194.819,0.512,4.6,1.615,2.009,1.529,2.885,11.005
135,Iowa State,Big12,2013,27,195.22,194.471,194.768,-0.297,1.0,4.56,3.39,2.511,4.097,1000.0
136,Kent State,MAC,2013,36,195.815,195.725,194.882,0.843,5.9,1.629,1000.0,1.823,2.512,1000.0
137,Kentucky,SEC,2013,21,196.07,195.44,195.612,-0.172,4.2,1.927,3.015,2.219,2.984,7.659
138,Lindenwood,MIC,2013,63,191.365,190.875,189.387,1.488,0.0,2.274,2.745,2.288,2.382,9.856
139,LSU,SEC,2013,5,197.295,196.865,196.903,-0.038,26.2,1.685,1.736,1.94,1.809,1000.0
140,Maryland,Big10,2013,22,195.865,195.64,195.341,0.299,12.3,1.631,1.42,1.481,1.659,6.606
141,Michigan,Big10,2013,7,197.235,197.025,196.983,0.042,23.3,1.236,0.898,0.992,3.145,4.29
