,Name,School,L10_High_FX,L10_Ave_FX,Freshman,NCAA_High_FX,NCAA_Ave_FX,FX_nqs,FX_delta
441,Sophia Lee,Stanford,9.825,5.802272727272728,2014,0.0,0.0,0.0,-9.825
442,Emma Kelley,Arkansas,9.675,5.697727272727273,2022,9.05,9.05,0.0,-0.625
443,Emma Morgenthaler,Sacramento State,9.575,7.0638157894736855,2022,9.925,9.775,9.79,0.35
444,Gabi Wickman,Washington,9.5,5.576612903225806,2021,9.775,9.458,9.395,0.275
445,Amanda Zeng,Stanford,9.575,6.705,2021,9.825,9.683,9.795,0.25
446,Jaylene Gilstrap,Utah,9.85,4.815625000000001,2021,9.9,9.844,9.88,0.05
447,Sydney Gonzales,Oregon State,9.65,7.38984375,2021,9.85,9.683,9.815,0.2
448,Giana Kalefe,Michigan State,9.675,7.3825,2022,0.0,0.0,0.0,-9.675
449,Cathy Eksteen,Washington,9.775,5.760714285714287,2021,0.0,0.0,0.0,-9.775
450,Eve Jackson,Utah State,9.575,6.8730769230769235,2021,9.9,9.782,9.875,0.325
451,Savannah Gonzalez,Ohio State,9.425,7.352272727272727,2021,9.85,9.738,9.81,0.425
452,Megan Ray,UC Davis,9.65,7.832999999999999,2022,9.925,9.877,9.9,0.275
453,Carissa Clay,Kentucky,9.475,6.772619047619048,2022,0.0,0.0,0.0,-9.475
454,Alani Sabado,Utah,9.775,7.466666666666666,2021,0.0,0.0,0.0,-9.775
455,Kaitlyn Lyle,UC Davis,9.65,5.868124999999998,2022,0.0,0.0,0.0,-9.65
456,Sarah Clark,Arizona State,9.525,6.004032258064516,2021,9.9,9.786,9.865,0.375
457,Ariana Young,Oregon State,9.65,6.999999999999998,2021,9.85,9.792,0.0,0.2
458,Claire Qu,Yale,9.425,7.135000000000001,2022,0.0,0.0,0.0,-9.425
459,Jenna Eagles,Lindenwood,9.225,3.428125,2021,9.775,9.533,9.485,0.55
460,Grace Sumner,Ball State,9.575,6.779999999999999,2022,0.0,0.0,0.0,-9.575
461,Kaitlyn Ewald,Illinois,9.675,7.914999999999999,2021,9.875,9.797,9.86,0.2
462,Kelsey Kollhoff,UW-Whitewater,9.425,7.414583333333334,2021,9.75,9.33,9.605,0.325
463,Gillian Rutz,Arkansas,9.55,6.889516129032257,2021,0.0,0.0,0.0,-9.55
464,Kristen Kuhn,Pennsylvania,9.2,4.698333333333333,2022,0.0,0.0,0.0,-9.2
465,Hyla Betts,West Chester,9.35,6.644021739130432,2022,0.0,0.0,0.0,-9.35
466,Dani Petrousek,Western Michigan,9.625,7.342553191489362,2021,9.9,9.784,9.855,0.275
467,Kennedy Weinpert,Kent State,9.55,7.453571428571428,2021,9.9,9.758,9.845,0.35
468,Payton Lynch,George Washington,9.375,7.215000000000001,2021,9.875,9.687,9.825,0.5
469,Lydia Anderson,Winona State,8.825,6.453571428571428,2021,0.0,0.0,0.0,-8.825
470,Elizabeth Shearns,Air Force,9.325,6.954166666666665,2021,0.0,0.0,0.0,-9.325
471,Talia Little,Boise State,9.675,7.152499999999999,2021,9.65,9.65,0.0,-0.025
472,Bailey Bunn,Kentucky,9.775,7.229285714285714,2021,9.9,9.838,9.875,0.125
473,Tara Walsh,Auburn,9.675,7.251351351351352,2022,0.0,0.0,0.0,-9.675
474,Naomi German,Michigan State,9.575,6.915,2021,0.0,0.0,0.0,-9.575
475,Gabrielle Diaz,North Carolina State,9.8,7.18103448275862,2021,9.925,9.838,9.865,0.125
476,Campbell Marr,Pennsylvania,9.45,6.845588235294117,2022,0.0,0.0,0.0,-9.45
477,Maggie Mace,Penn State,9.6,6.26375,2022,0.0,0.0,0.0,-9.6
478,Kalise Newson,Missouri,9.475,5.409999999999999,2021,0.0,0.0,0.0,-9.475
479,Faith Lerro,Pittsburgh,9.275,4.122727272727273,2021,0.0,0.0,0.0,-9.275
480,Nay'yarrah Winder,Pittsburgh,9.675,9.40625,2021,9.55,9.55,0.0,-0.125
481,Adriana Bustelo,Central Michigan,9.65,6.692857142857143,2021,9.875,9.692,0.0,0.225
482,Audrey Lynn,Oklahoma,9.45,5.847222222222222,2021,0.0,0.0,0.0,-9.45
483,Bell Johnson,Oklahoma,9.625,7.2787037037037035,2021,9.925,9.831,9.905,0.3
484,Hayley Perkins,Alaska,8.825,6.595,2022,9.675,9.119,9.275,0.85
485,Audrey Davis,Oklahoma,9.475,3.7979166666666666,2021,9.9,9.853,9.875,0.425
486,Genesis Gibson,Nebraska,8.4,4.2,2022,0.0,0.0,0.0,-8.4
487,Nicole Norris,West Virginia,9.35,6.571153846153847,2021,0.0,0.0,0.0,-9.35
488,Chloe Asper,West Virginia,9.525,6.8068965517241375,2021,9.575,9.575,0.0,0.05
489,Lauren Wicker,West Chester,9.075,6.374,2022,0.0,0.0,0.0,-9.075
490,Naya Robinson,Springfield College,9.1,5.913888888888889,2022,9.6,9.139,9.405,0.5
491,Kiana Lewis,West Virginia,9.7,6.757575757575758,2021,9.9,9.838,9.885,0.2
492,Cory Shinohara,North Carolina,9.65,7.472115384615384,2022,0.0,0.0,0.0,-9.65
493,Stephanie Berger,Ohio State,9.5,5.483333333333333,2022,0.0,0.0,0.0,-9.5
494,Emily Buffington,UW-Oshkosh,9.5,7.170833333333334,2021,9.7,9.433,9.57,0.2
495,Lydia Webb,S.E. Missouri,9.675,5.5575,2021,9.85,9.338,9.795,0.175
496,Julia Bedell,Brown,9.65,7.157894736842106,2022,9.9,9.785,9.845,0.25
497,Simona Kerekes,Towson,9.425,5.93921568627451,2021,0.0,0.0,0.0,-9.425
498,Angela Xing,Brown,9.225,6.593333333333334,2022,9.825,9.67,9.72,0.6
499,Cael Bixler,LIU,9.6,6.503571428571428,2022,0.0,0.0,0.0,-9.6
500,Danielle Press,Nebraska,9.4,6.647916666666666,2021,9.875,9.686,9.685,0.475
501,Emiley Kahl,Southern Conn.,8.55,5.277777777777778,2022,0.0,0.0,0.0,-8.55
502,Madison Whitaker,West Chester,9.275,6.736111111111112,2022,0.0,0.0,0.0,-9.275
