,Name,School,L10_High_BB,L10_Ave_BB,Freshman,NCAA_High_BB,NCAA_Ave_BB,BB_nqs
1875,Eileen Imbus,Arizona State,9.625,6.8657407407407405,2016,0.0,0.0,0.0
1876,Savanna Maradiaga,BYU,9.475,7.273809523809525,2016,9.825,9.125,8.985
1877,Jiang Braley,Southern Utah,9.35,6.541176470588235,2019,0.0,0.0,0.0
1878,Kiarra Alleyne,Yale,9.7,6.588541666666667,2016,9.775,9.506,9.755
1879,Marissa Piper,Brockport,9.35,5.945833333333334,2016,8.525,8.512,0.0
1880,Mackenzie Packer,Centenary College,8.85,5.2124999999999995,2016,0.0,0.0,0.0
1881,Brooke Terry,UW-Stout,9.425,7.197916666666666,2017,9.775,9.353,9.72
1882,Rachel Hasting,UW-Stout,8.525,4.442857142857143,2016,0.0,0.0,0.0
1883,Madison Dickson,Texas Woman's,9.2,5.08,2016,9.8,9.423,9.72
1884,Sabrina Schwab,Utah,9.525,7.362500000000001,2016,9.8,9.775,0.0
1885,Alaina Kwan,Kentucky,9.625,6.565909090909092,2017,9.85,9.492,9.695
1886,Roxanna Agah,UC Davis,9.425,5.4925,2018,0.0,0.0,0.0
1887,Camille Johnson,UC Davis,9.6,6.931944444444444,2018,0.0,0.0,0.0
1888,Brielle Nguyen,Illinois,9.6,7.689583333333334,2016,9.9,9.79,9.9
1889,Jessica Wang,Yale,9.675,7.710416666666667,2016,9.875,9.56,9.82
1890,Mariana Murphy,Air Force,9.45,7.701785714285713,2016,9.85,9.498,9.795
1891,Dare Maxwell,Stanford,9.575,7.865384615384615,2016,0.0,0.0,0.0
1892,Kelli Chung,Nebraska,9.45,6.53125,2019,0.0,0.0,0.0
1893,Lindsay Riggs,Cortland State,9.425,8.515,2016,9.55,8.925,9.45
1894,Stephanie Relova,San Jose State,9.475,6.828571428571429,2017,9.875,9.618,9.835
1895,Danielle Spencer-Bearham,Arizona,9.375,3.377777777777778,2016,9.7,9.7,0.0
1896,Analise Howard,Air Force,9.625,6.24375,2017,9.925,9.631,9.845
1897,Sofie Seilnacht,California,9.7,7.532499999999999,2016,9.95,9.75,9.915
1898,Haley Lyons,Ithaca College,9.2,7.199999999999999,2016,9.6,9.068,9.41
1899,Taylor Churchill,Rhode Island College,9.0,5.520833333333334,2018,0.0,0.0,0.0
1900,Nicole Hoffman,Stanford,9.5,6.6342105263157904,2016,9.825,9.289,9.47
1901,Morgan Hagenbuch,Brown,9.35,6.525,2016,9.65,9.337,9.545
1902,Christina Luniewicz,Cornell,9.325,6.618103448275862,2017,9.7,8.708,0.0
1903,Gabrielle Hechtman,Brown,8.725,5.828571428571429,2016,9.275,9.275,0.0
1904,Tiffany Coleman,Southern Conn.,8.5,8.129999999999999,2016,9.45,8.721,8.575
1905,Gina Guarnieri,UW-Stout,8.625,7.8100000000000005,2016,0.0,0.0,0.0
1906,Nicole Swirbalus,Pennsylvania,9.4,7.03125,2016,9.875,9.511,9.815
1907,Lisa O'Donnell,UW-Whitewater,9.35,7.198076923076924,2016,9.75,9.3,9.68
1908,Kayla Rose,Bowling Green,9.425,6.003125,2016,0.0,0.0,0.0
1909,Jessica Jones,Penn State,9.6,6.877586206896551,2016,9.875,9.545,0.0
1910,Sydney Audet,Eastern Michigan,9.35,6.178571428571429,2017,0.0,0.0,0.0
1911,Anna Martucci,Northern Illinois,9.475,6.405952380952381,2016,9.85,9.506,9.795
1912,Katie Jennings,Western Michigan,9.0,5.9833333333333325,2016,0.0,0.0,0.0
1913,Rachel Creagh,Bowling Green,9.475,6.777272727272727,2016,0.0,0.0,0.0
1914,Miranda Saathoff,Winona State,9.25,6.228000000000001,2016,9.475,9.031,9.36
1915,Dara Williams,Kent State,9.575,5.829166666666667,2016,0.0,0.0,0.0
1916,Sarah Pollman,Illinois State,9.05,8.595,2016,0.0,0.0,0.0
1917,Allison Jahns,UW-La Crosse,9.325,7.093749999999999,2016,0.0,0.0,0.0
1918,Kelsey Ranneklev,Hamline,9.0,6.908333333333333,2016,8.625,8.408,0.0
1919,Alyssa Quinlan,Kent State,9.6,7.215909090909092,2017,9.875,9.74,9.78
1920,Kelsy Kurfirst,Cornell,9.125,6.175000000000001,2016,0.0,0.0,0.0
1921,Abby Ostrovsky,UW-La Crosse,9.225,6.21195652173913,2016,0.0,0.0,0.0
1922,Brittani Lehmen,UW-Stout,8.95,6.168749999999999,2016,9.1,8.625,0.0
1923,Megan Hultgren,Eastern Michigan,9.65,6.69765625,2016,9.875,9.681,9.835
1924,Paige Nicholas,Northern Illinois,9.525,6.460416666666667,2016,9.775,9.395,9.635
