,Name,School,L10_High_BB,L10_Ave_BB,Freshman,NCAA_High_BB,NCAA_Ave_BB,BB_nqs,BB_delta
771,Mayleigh Vanderbeek,Central Michigan,9.675,6.324999999999999,2021,9.175,8.925,0.0,-0.5
772,Adana Amor,UW-Oshkosh,9.2,5.8173076923076925,2021,0.0,0.0,0.0,-9.2
773,Kylie Piringer,Nebraska,9.55,6.689864864864865,2021,0.0,0.0,0.0,-9.55
774,Ariyana Agarwala,Pennsylvania,9.575,6.960714285714286,2022,9.6,9.262,0.0,0.025
775,Josephine Thomas,Western Michigan,9.55,7.068478260869565,2021,9.875,9.654,9.815,0.325
776,Sarah Penuela-Wermers,Pennsylvania,9.55,7.029166666666666,2022,0.0,0.0,0.0,-9.55
777,Hannah Munnelly,George Washington,9.275,6.812500000000001,2021,0.0,0.0,0.0,-9.275
778,Jordyn Zieden-Weber,Rutgers,9.2,5.384615384615385,2021,0.0,0.0,0.0,-9.2
779,Samantha Kelly,West Chester,9.025,4.733333333333333,2022,0.0,0.0,0.0,-9.025
780,Keaghan Schafer,William & Mary,9.575,6.436666666666666,2021,9.775,9.55,9.705,0.2
781,Kasey Ricci,Ursinus College,8.55,5.98,2022,8.475,8.475,0.0,-0.075
782,Katie Fitzpatrick,Cornell,9.175,4.894736842105262,2022,0.0,0.0,0.0,-9.175
783,Ashley Goeltl,Gustavus Adolphus,9.35,7.179545454545455,2022,0.0,0.0,0.0,-9.35
784,Rose Deshler,Centenary College,9.05,6.78846153846154,2021,9.675,9.182,9.49,0.625
785,Taylor Kish,UW-Eau Claire,9.0,6.0249999999999995,2021,0.0,0.0,0.0,-9.0
786,Karina Sabol,UW-Whitewater,9.525,6.672727272727272,2021,9.525,9.325,0.0,0.0
787,Mackenzie Barile,Arizona,9.575,6.559285714285715,2021,9.875,9.697,9.775,0.3
788,Briona Carswell,Air Force,9.4,5.416666666666667,2021,9.9,9.725,9.86,0.5
789,Aimee Titche,Yale,9.7,6.872500000000001,2022,8.1,8.1,0.0,-1.6
790,Carolanne Van Zandt,Brown,9.25,7.255357142857144,2022,0.0,0.0,0.0,-9.25
791,Emily Holmes-Hackerd,West Virginia,9.8,6.2640625,2021,9.85,9.704,9.815,0.05
792,Sophia Leblanc,Maryland,9.125,5.983333333333333,2021,9.8,9.671,9.645,0.675
