,Name,School,L10_High_VT,L10_Ave_VT,Freshman,NCAA_High_VT,NCAA_Ave_VT,VT_nqs,VT_delta
2837,Alex Marasco,Iowa State,9.7,3.1638888888888888,2013,9.9,9.696,9.81,6.532
2838,Mesha Peterson,UW-Stout,9.55,7.645454545454546,2013,9.5,9.5,0.0,1.855
2839,Steffi Heuer,UW-Whitewater,9.325,7.033333333333333,2013,9.475,9.358,0.0,2.325
2840,Jill Chappel,Kentucky,9.85,9.48,2013,9.825,9.742,9.78,0.262
2841,Meghan Brannon,West Chester,9.0,5.050000000000001,2013,9.45,9.186,9.22,4.136
2842,Katlin Isaacs,Kent State,9.45,6.707142857142857,2013,0.0,0.0,0.0,-6.707
2843,Trystien Charles,Lindenwood,9.45,4.61,2013,9.65,9.484,9.56,4.874
2844,Casie Hood,Centenary College,9.05,6.228571428571429,2014,9.375,9.112,9.06,2.883
2845,Micole O'dell,Iowa State,9.5,9.5,2015,9.825,9.594,9.71,0.094
2846,Danielle Vahala,Temple,9.225,6.025,2015,9.375,9.375,0.0,3.35
2847,Khadijah Hudson,Eastern Michigan,9.625,6.9318181818181825,2013,9.875,9.743,9.825,2.811
2848,Lexi Mura,Iowa,9.35,9.35,2015,0.0,0.0,0.0,-9.35
2849,Amy Roemmele,Kentucky,9.45,6.394230769230769,2013,0.0,0.0,0.0,-6.394
2850,Samantha Pearsall,Iowa State,9.4,4.113888888888889,2013,0.0,0.0,0.0,-4.114
2851,Lindsay Williams,Michigan,9.25,4.8730769230769235,2013,0.0,0.0,0.0,-4.873
2852,Marissa Wossner,Boise State,9.55,7.352499999999999,2013,0.0,0.0,0.0,-7.352
2853,Giana O'Connor,Illinois,9.5,6.275,2013,9.95,9.818,9.91,3.543
2854,Kayla Weber,Western Michigan,9.475,6.166666666666667,2013,9.9,9.639,9.79,3.472
2855,Miya Dotson,Western Michigan,9.65,7.781249999999999,2013,9.8,9.627,9.77,1.846
2856,Krystal Walker,UW-Oshkosh,9.225,7.0339285714285715,2013,9.6,9.312,9.525,2.278
2857,Natalie Amadio,Northern Illinois,9.375,6.265384615384615,2013,9.55,9.55,0.0,3.285
2858,Kennedy Prentice,Cornell,9.325,7.723076923076922,2013,0.0,0.0,0.0,-7.723
2859,Alyssa Lopez,Iowa,9.575,9.475,2013,9.775,9.68,0.0,0.205
2860,Brittany Holmes,Michigan State,9.2,6.78125,2013,9.8,9.67,9.75,2.889
2861,Kristyn Bossle,Illinois State,9.65,8.021153846153847,2014,9.875,9.601,9.815,1.58
2862,Holly Ryan,Michigan State,9.6,6.527272727272727,2014,9.625,9.595,0.0,3.068
2863,Jessica Buis,Western Michigan,9.725,6.777272727272727,2013,9.875,9.776,9.875,2.999
2864,Lauren Africano,Northern Illinois,9.3,5.1125,2013,0.0,0.0,0.0,-5.112
2865,Lindsay Offutt,Pittsburgh,9.3,6.640909090909092,2014,9.875,9.484,9.81,2.843
2866,Madison Kremer,Texas Woman's,9.325,6.980555555555556,2014,9.675,9.508,0.0,2.527
2867,Kayla Kosmerl,Kent State,9.3,9.087499999999999,2014,0.0,0.0,0.0,-9.087
2868,Jordan Charrette,Central Michigan,9.225,7.2124999999999995,2015,0.0,0.0,0.0,-7.212
2869,Megan Lamphere,Central Michigan,9.275,7.598076923076922,2013,0.0,0.0,0.0,-7.598
2870,Alexandra Chretien,Brown,9.225,5.210416666666666,2013,9.05,9.0,0.0,3.79
2871,Danielle Turner,UW-Oshkosh,9.35,7.667307692307692,2014,9.675,9.338,9.485,1.671
2872,Miranda Kerr,Ball State,9.4,5.267857142857142,2013,9.9,9.71,9.855,4.442
2873,Kayla Beckler,Ball State,9.8,6.46923076923077,2014,9.85,9.637,9.755,3.168
2874,Allie Hansen,Iowa State,0.0,0.0,2014,9.725,9.6,0.0,9.6
2875,Maddie Krentz,Boise State,9.575,6.341666666666667,2013,9.925,9.808,9.9,3.466
2876,Allison Bellingham,San Jose State,9.2,6.015000000000001,2013,9.6,9.6,0.0,3.585
2877,Melissa Chuang,Stanford,9.65,7.806818181818181,2013,9.9,9.741,9.845,1.934
2878,Alicia Floyd,Lindenwood,9.4,7.7250000000000005,2013,9.75,9.5,9.68,1.775
2879,Emily Novotny,Denver,9.325,5.703124999999999,2014,0.0,0.0,0.0,-5.703
2880,Kiersten Graber,Washington,9.675,8.096428571428572,2013,9.8,9.717,9.753,1.621
2881,Breanna Beltran,Seattle Pacific,9.325,6.661363636363635,2015,9.75,9.584,9.695,2.923
2882,Emily Vidmar,BYU,9.225,5.041666666666666,2013,0.0,0.0,0.0,-5.042
2883,Amber Hu,Pennsylvania,9.05,7.409615384615385,2013,0.0,0.0,0.0,-7.41
2884,Camilla Opperman,Yale,9.05,7.154999999999999,2014,9.7,9.578,9.7,2.423
2885,Hannah Gilbert,San Jose State,9.175,7.285416666666666,2013,9.85,9.69,9.795,2.405
2886,Virginia Brownsell,Southern Utah,9.8,7.222222222222221,2014,9.875,9.75,9.855,2.528
2887,Serena Leong,California,9.55,7.915384615384615,2013,9.925,9.842,9.895,1.927
2888,Michelle Yasukochi,Utah State,9.525,7.684615384615384,2013,9.825,9.714,9.81,2.029
2889,Ashley Tai,Stanford,9.775,6.06607142857143,2017,9.85,9.803,9.82,3.737
2890,Julia York,Alaska,9.275,7.616666666666666,2014,9.775,9.576,9.67,1.959
2891,Alyssa Anderson,Sacramento State,9.1,4.441666666666666,2013,9.525,9.525,0.0,5.083
2892,Brennan Bailes,Sacramento State,8.75,2.8666666666666663,2014,0.0,0.0,0.0,-2.867
2893,Lindsay Mable,Minnesota,9.825,8.184615384615384,2013,10.0,9.87,9.95,1.685
2894,Rachel Abrams,Ohio State,9.775,7.15625,2013,9.75,9.75,0.0,2.594
2895,Lark Pokladnik,Missouri,9.5,7.593181818181818,2014,0.0,0.0,0.0,-7.593
2896,JoAnna Cuba,Utah State,9.425,6.6468750000000005,2013,0.0,0.0,0.0,-6.647
2897,Jordyn Beck,Nebraska,9.725,9.49375,2014,0.0,0.0,0.0,-9.494
2898,Courtney Heise,Lindenwood,9.225,7.595833333333332,2013,9.95,9.562,9.78,1.966
2899,Kristen DeCosta,Iowa State,9.425,3.88125,2013,0.0,0.0,0.0,-3.881
2900,Maggie Teets,Stanford,9.2,6.255,2013,0.0,0.0,0.0,-6.255
2901,Ashleigh Gillis,Texas Woman's,9.375,6.4,2013,0.0,0.0,0.0,-6.4
2902,Maria Hundley,Seattle Pacific,9.225,9.025,2013,9.875,9.738,9.875,0.713
2903,Tori Beckwith,Lindenwood,9.325,6.434090909090909,2013,9.275,9.188,0.0,2.754
2904,Allison Scates,Centenary College,9.1,7.426923076923079,2014,9.7,9.398,9.585,1.971
2905,Erin Odom,Towson,9.7,7.096875,2013,9.75,9.504,9.455,2.407
2906,Sydnie Dillard,Arkansas,9.625,6.1883333333333335,2013,0.0,0.0,0.0,-6.188
2907,Hunter Price,Oklahoma,9.625,6.333333333333333,2013,9.9125,9.831,9.867,3.498
2908,Joey Ching,Air Force,8.9,5.883333333333333,2014,9.575,9.334,9.5,3.451
2909,Carly Kiesow,UW-La Crosse,8.925,8.265,2013,0.0,0.0,0.0,-8.265
2910,Montana Whittle,Kentucky,0.0,0.0,2014,0.0,0.0,0.0,0.0
2911,Brittney Sooksengdao,Yale,9.525,9.3125,2013,9.8,9.289,9.66,-0.024
2912,Nicole Pruchnik,Southern Conn.,9.275,6.417857142857143,2013,9.75,9.558,9.68,3.14
2913,Jillian Casarella,Ursinus College,8.15,8.15,2014,0.0,0.0,0.0,-8.15
2914,Sara Schupp,Cornell,9.325,6.496428571428571,2013,9.8,9.511,9.745,3.015
2915,Kaylee Remillard,Rhode Island College,9.0,6.45,2013,0.0,0.0,0.0,-6.45
