,Name,School,L10_High_AA,L10_Ave_AA,Freshman,NCAA_High_AA,NCAA_Ave_AA,AA_nqs,AA_delta
3172,Alyssa Montalban,San Jose State,36.95,23.895833333333332,2012,0.0,0.0,0.0,-36.95
3173,Kiley Field,San Jose State,35.425,20.837500000000002,2012,0.0,0.0,0.0,-35.425
3174,Ashley Stevenson,Michigan State,37.5,33.870000000000005,2012,0.0,0.0,0.0,-37.5
3175,Brianna Chrisman,Yale,36.275,17.87142857142857,2012,0.0,0.0,0.0,-36.275
3176,Ashley Follett,Utah State,35.275,34.339999999999996,2012,0.0,0.0,0.0,-35.275
3177,Maia Vernacchia,Cornell,34.9,34.075,2012,0.0,0.0,0.0,-34.9
3178,Alyssa Ortiz,Seattle Pacific,35.425,24.124999999999996,2015,0.0,0.0,0.0,-35.425
3179,Susie Miller,Utah State,35.675,25.821875,2012,0.0,0.0,0.0,-35.675
3180,Caitlyn Kessel,Southern Utah,34.225,29.981250000000003,2016,0.0,0.0,0.0,-34.225
3181,Sunny Kato,Illinois,18.125,18.125,2013,0.0,0.0,0.0,-18.125
3182,Carly Sigler,Southern Utah,35.525,21.522833333333335,2012,0.0,0.0,0.0,-35.525
3183,Rachel Zabawa,Lindenwood,36.75,35.575,2013,0.0,0.0,0.0,-36.75
3184,Hailey Parker,UW-Oshkosh,32.65,30.799999999999997,2014,0.0,0.0,0.0,-32.65
3185,Corinne Weyrauch,Cornell,17.975,12.325000000000001,2012,0.0,0.0,0.0,-17.975
3186,Amanda Lauer,Nebraska,36.85,26.424999999999997,2014,0.0,0.0,0.0,-36.85
3187,Lora Leigh Frost,Alabama,37.35,36.519999999999996,2012,0.0,0.0,0.0,-37.35
3188,Stephani Canizaro,Arkansas,38.425,37.435,2012,0.0,0.0,0.0,-38.425
3189,Samantha Lutz,Towson,36.7,25.575,2012,39.25,38.423,38.59,2.55
3190,Chelsey Baker,Alaska,36.25,25.260714285714286,2013,0.0,0.0,0.0,-36.25
3191,Leane Blais,UW-Oshkosh,35.325,24.55,2012,0.0,0.0,0.0,-35.325
3192,Whitney Kirby,Georgia,34.625,13.787500000000001,2013,0.0,0.0,0.0,-34.625
3193,Alyssa Malone,Northern Illinois,35.175,23.004166666666666,2012,0.0,0.0,0.0,-35.175
3194,Heather Pena,Illinois State,35.9,27.450000000000006,2012,0.0,0.0,0.0,-35.9
3195,Alexis Williams,UW-Whitewater,36.175,22.754166666666666,2012,0.0,0.0,0.0,-36.175
3196,Haley Watts,North Carolina,38.2,35.25625,2012,39.25,38.897,39.17,1.05
3197,Kayla Jones,Texas Woman's,36.225,20.7375,2012,0.0,0.0,0.0,-36.225
3198,Megan Walker,Auburn,38.175,37.09,2012,0.0,0.0,0.0,-38.175
3199,Caitlin Perry,Bridgeport,34.975,22.679166666666667,2012,0.0,0.0,0.0,-34.975
3200,Amanda Carney,Brockport,36.0,34.391666666666666,2012,0.0,0.0,0.0,-36.0
3201,Elise Konikoff,Cortland State,35.525,28.433333333333334,2012,0.0,0.0,0.0,-35.525
3202,Morgan Cook,Alaska,35.85,35.85,2012,38.625,37.772,38.45,2.775
3203,Shelby Davis,Northern Illinois,35.825,35.825,2013,0.0,0.0,0.0,-35.825
3204,Stephanie Repp,Texas Woman's,37.65,26.0,2012,38.95,38.42,38.715,1.3
3205,Abaigeal Thompson,Cornell,35.025,22.216666666666665,2012,0.0,0.0,0.0,-35.025
3206,Jessica Wallander,Air Force,18.975,18.34375,2012,0.0,0.0,0.0,-18.975
3207,Kailie Ponto,Oregon State,18.325,18.0125,2014,0.0,0.0,0.0,-18.325
3208,Stefanie Daley,Utah State,16.7,10.44375,2013,0.0,0.0,0.0,-16.7
3209,Phoebe Cook,Brockport,33.525,25.3375,2012,0.0,0.0,0.0,-33.525
3210,Olivia Sylvestro,Brockport,33.7,32.595,2012,0.0,0.0,0.0,-33.7
3211,Chloe Hustad,UW-Stout,33.125,32.625,2012,35.475,35.167,0.0,2.35
3212,Nicole Caradonna,Springfield College,33.675,19.441666666666666,2012,0.0,0.0,0.0,-33.675
3213,Emily Shelton,Southern Conn.,33.35,27.383333333333333,2012,0.0,0.0,0.0,-33.35
3214,Halle Moraw,Central Michigan,37.15,24.1375,2012,39.1,38.441,38.585,1.95
3215,Ali Berry,UW-La Crosse,18.125,14.094999999999999,2012,0.0,0.0,0.0,-18.125
3216,Alex Wente,UW-Whitewater,18.1,17.9875,2014,0.0,0.0,0.0,-18.1
3217,Kathryn Coghlan,Brockport,33.875,33.35,2012,0.0,0.0,0.0,-33.875
3218,Becky Metz,Cortland State,33.425,33.075,2012,0.0,0.0,0.0,-33.425
3219,Kalliah McCartney,Sacramento State,37.8,24.825,2012,39.45,38.928,39.35,1.65
3220,Kayla Wonderly,Sacramento State,9.075,5.7749999999999995,2012,0.0,0.0,0.0,-9.075
3221,Rachel Riesterer,UW-La Crosse,18.4,18.362499999999997,2012,0.0,0.0,0.0,-18.4
3222,Claire Torgerson,Sacramento State,36.575,25.57142857142857,2012,0.0,0.0,0.0,-36.575
3223,Sadiqua Bynum,UCLA,36.55,23.8375,2013,0.0,0.0,0.0,-36.55
3224,Danielle Buchanan,Arizona,36.575,23.555,2012,0.0,0.0,0.0,-36.575
3225,Rebecca Druien,Central Michigan,37.925,25.871428571428574,2012,38.775,38.188,0.0,0.85
3226,Maggie Lundeen,William & Mary,37.45,34.22,2012,0.0,0.0,0.0,-37.45
3227,Alexis Schmidt,Ohio State,37.625,18.14583333333333,2012,0.0,0.0,0.0,-37.625
3228,Sydney Hoerr,Iowa,36.075,16.054166666666667,2012,39.4,38.66,39.25,3.325
3229,Tamara Moten,UIC,36.075,23.833333333333332,2012,0.0,0.0,0.0,-36.075
3230,Meg Piepenbrink,Northern Illinois,35.775,34.7625,2013,0.0,0.0,0.0,-35.775
3231,Megan Yee,Illinois State,35.15,19.575,2012,0.0,0.0,0.0,-35.15
3232,Kelsey Lawless,Kent State,37.45,24.04583333333333,2012,0.0,0.0,0.0,-37.45
3233,Ariyanna Smith,Eastern Michigan,36.0,22.966666666666665,2014,0.0,0.0,0.0,-36.0
3234,Stacia Ruse,William & Mary,35.75,23.27916666666667,2012,38.7,37.598,38.0,2.95
3235,Taylor Brown,North Carolina,34.75,21.466666666666665,2009,0.0,0.0,0.0,-34.75
3236,Kelly Nortz,Northern Illinois,36.225,31.816666666666666,2012,0.0,0.0,0.0,-36.225
3237,Adelaide Hurlbert,Ursinus College,33.975,31.0,2012,0.0,0.0,0.0,-33.975
3238,Kelsey Morris,Boise State,37.5,24.612499999999997,2012,39.5,39.051,39.42,2.0
3239,Brittany Marcsisin,Pittsburgh,35.475,26.725,2012,0.0,0.0,0.0,-35.475
3240,Dara DiLeo,Pennsylvania,30.675,30.675,2013,0.0,0.0,0.0,-30.675
