Team,Year,VT,UB,BB,FX,Overall
Washington,2017,22,21,9,12,8
West Chester,2017,63,64,50,57,61
West Virginia,2017,18,37,34,24,20
Western Michigan,2017,42,33,33,45,38
William & Mary,2017,64,55,64,64,63
Winona State,2017,79,74,73,77,75
Yale,2017,61,47,64,63,59
Air Force,2016,64,63,61,67,63
Alabama,2016,5,3,5,6,3
Alaska,2016,54,64,56,60,60
Arizona,2016,29,22,14,30,21
Arizona State,2016,49,58,52,40,51
Arkansas,2016,11,16,14,12,20
Auburn,2016,8,8,12,6,11
Ball State,2016,36,43,48,44,44
Boise State,2016,18,6,23,15,16
Bowling Green,2016,42,34,29,37,36
Bridgeport,2016,50,40,47,46,46
Brockport,2016,70,71,67,63,66
Brown,2016,56,49,61,55,53
BYU,2016,28,32,38,34,34
California,2016,9,19,13,11,7
Centenary College,2016,71,72,59,68,71
Central Michigan,2016,40,24,33,40,33
Cornell,2016,59,61,53,58,56
Cortland State,2016,72,73,74,72,73
Denver,2016,15,10,22,10,15
Eastern Michigan,2016,26,23,20,32,17
Florida,2016,2,2,2,3,4
George Washington,2016,23,26,25,23,24
Georgia,2016,3,9,18,9,6
Gustavus Adolphus,2016,82,81,80,80,81
Hamline,2016,78,79,81,76,79
Illinois,2016,29,39,9,19,25
Illinois State,2016,56,57,49,56,61
Iowa,2016,17,17,23,28,23
Iowa State,2016,32,42,37,28,38
Ithaca College,2016,79,80,78,74,78
Kent State,2016,47,35,35,20,32
Kentucky,2016,22,28,20,27,22
Lindenwood,2016,48,46,46,51,49
LSU,2016,1,5,3,2,2
Maryland,2016,38,38,43,31,39
Michigan,2016,6,7,7,5,13
Michigan State,2016,39,35,50,18,28
Minnesota,2016,12,14,17,13,12
Missouri,2016,12,20,27,22,19
Nebraska,2016,16,14,8,14,8
New Hampshire,2016,43,37,11,40,35
North Carolina,2016,55,53,54,62,52
North Carolina State,2016,29,30,39,39,37
Northern Illinois,2016,44,30,51,43,45
Ohio State,2016,24,26,32,32,29
Oklahoma,2016,3,1,1,1,1
Oregon State,2016,21,10,10,21,14
Penn State,2016,27,17,25,26,26
Pennsylvania,2016,69,65,63,57,64
Pittsburgh,2016,46,44,43,48,48
Rhode Island College,2016,80,82,82,82,82
Rutgers,2016,34,54,41,45,43
S.E. Missouri,2016,62,48,55,54,55
Sacramento State,2016,36,47,39,24,40
San Jose State,2016,45,45,45,47,46
Seattle Pacific,2016,51,62,57,53,54
Southern Conn.,2016,68,69,68,71,70
Southern Utah,2016,25,29,28,16,27
Springfield College,2016,75,76,76,79,75
Stanford,2016,12,13,14,36,10
Temple,2016,60,60,70,61,66
Texas Woman's,2016,52,59,58,65,59
Towson,2016,53,52,42,50,50
UC Davis,2016,41,50,30,35,42
UCLA,2016,10,12,4,8,5
UIC,2016,61,51,66,59,58
Ursinus College,2016,77,70,69,78,72
Utah,2016,7,4,6,4,9
Utah State,2016,33,21,31,37,30
UW-Eau Claire,2016,81,75,77,75,77
UW-La Crosse,2016,67,67,72,70,68
UW-Oshkosh,2016,76,77,75,77,76
UW-Stout,2016,74,78,79,81,80
UW-Whitewater,2016,65,68,71,69,69
Washington,2016,19,25,19,24,18
West Chester,2016,63,66,60,66,65
West Virginia,2016,19,33,36,17,31
Western Michigan,2016,35,41,34,49,41
William & Mary,2016,56,56,65,52,57
Winona State,2016,73,74,73,73,74
Yale,2016,66,55,64,64,62
Air Force,2015,60,63,66,55,62
Alabama,2015,5,5,5,4,4
Alaska,2015,59,62,58,61,61
Arizona,2015,29,17,14,18,17
Arizona State,2015,52,33,51,53,49
Arkansas,2015,14,20,38,14,14
Auburn,2015,8,12,8,11,6
Ball State,2015,45,57,45,40,52
Boise State,2015,18,8,23,27,20
Bowling Green,2015,37,41,35,47,42
Bridgeport,2015,49,45,48,33,46
Brockport,2015,71,67,67,63,68
Brown,2015,58,54,61,52,55
BYU,2015,31,37,49,21,36
California,2015,17,18,35,12,18
Centenary College,2015,69,70,63,62,66
Central Michigan,2015,23,19,29,15,19
Cornell,2015,62,66,64,60,64
Cortland State,2015,75,74,68,73,72
Denver,2015,12,25,16,9,15
Eastern Michigan,2015,44,34,33,40,37
Florida,2015,2,1,3,2,1
George Washington,2015,10,43,44,25,35
Georgia,2015,14,8,11,12,9
Gustavus Adolphus,2015,81,82,82,81,81
Hamline,2015,78,78,80,80,78
Illinois,2015,20,10,10,28,13
Illinois State,2015,61,56,26,58,53
Iowa,2015,26,16,21,31,31
Iowa State,2015,42,32,31,34,29
Ithaca College,2015,77,76,73,79,74
Kent State,2015,35,39,46,37,38
Kentucky,2015,33,27,22,22,24
Lindenwood,2015,48,52,57,48,50
LSU,2015,2,5,4,1,10
Maryland,2015,20,30,33,38,33
Michigan,2015,9,7,6,6,7
Michigan State,2015,39,23,26,16,26
Minnesota,2015,19,23,18,17,23
Missouri,2015,28,25,28,25,21
Nebraska,2015,6,13,15,10,8
New Hampshire,2015,42,31,17,34,32
North Carolina,2015,47,29,35,50,44
North Carolina State,2015,26,34,41,43,25
Northern Illinois,2015,40,40,50,45,45
Ohio State,2015,25,42,30,30,27
Oklahoma,2015,4,3,1,2,3
Oregon State,2015,13,14,12,7,12
Penn State,2015,11,15,13,19,22
Pennsylvania,2015,64,58,55,56,57
Pittsburgh,2015,51,48,53,54,51
Rhode Island College,2015,80,81,81,82,82
Rutgers,2015,35,44,40,36,46
S.E. Missouri,2015,50,53,56,57,56
Sacramento State,2015,46,46,39,43,48
San Jose State,2015,37,47,43,42,41
